"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.ya[26,3]",25853.7174715789,4972.37402663446,16881.1576906461,22379.9874471113,25631.8023689131,29017.7125194297,36100.4499492647,1.00340004210738,690
"N.ya[27,3]",69759.1050594327,8086.26407568192,54970.6103307731,64114.3793586173,69330.6520958812,75186.9897891239,85990.5750678359,1.00162149812682,1800
"N.ya[28,3]",80241.2353957863,7286.80798570164,66410.2761289262,75070.6932493424,79866.4481771057,84975.0869792508,95678.6009935688,1.00220943983387,1600
"N.ya[29,3]",38026.7046738365,5736.16337782424,27538.2919078155,33999.1422256298,37682.5388269471,41791.788675184,50257.2950295318,1.001918027644,1400
"N.ya[30,3]",45505.3507327657,4846.72816106606,36109.5365934047,42153.2411841814,45409.3340953505,48867.9729372148,55070.607534723,1.00122449107151,2800
"N.ya[31,3]",25192.1045028636,3993.63555174479,18065.0701206876,22411.3377938093,24875.6275946272,27804.780558853,33548.4030181151,1.00095914753847,3000
"N.ya[32,3]",22429.632195258,2866.41157611757,17264.7725682252,20445.3088777479,22291.596924056,24263.5917887611,28605.8135362647,1.00179118223471,3000
"N.ya[33,3]",15731.4418807033,3231.90632538291,9934.32944644888,13496.2066051688,15578.2322819668,17783.3391381185,22471.2713411502,1.00155113340685,1900
"N.ya[34,3]",80506.9516202975,11132.5103314798,59762.1557411917,72659.643617834,79921.2731600379,88337.8102527693,103072.058261959,1.0012702185975,2600
"N.ya[35,3]",69527.8926234434,5891.43339563298,58230.7782993004,65518.448928707,69424.9036645863,73413.3383926743,81178.5770532215,1.00055302975004,3000
"N.ya[36,3]",25309.9100938466,3572.7792423911,18814.1082290632,22793.3773154372,25159.8177283762,27625.9474589341,32696.861329688,1.00113818087877,3000
"N.ya[37,3]",34700.9497896766,6261.28385486968,23384.745401588,30390.0241318041,34306.4989187501,38662.3105011784,48158.3565600814,1.0007177770512,3000
"N.ya[38,3]",89862.3504859092,10989.3540886115,69292.8301004306,82290.749552902,89580.2732667159,97031.5941635271,111783.808933246,1.00069278309521,3000
"N.ya[39,3]",50296.5566747951,7397.75492818231,36932.9459398234,45152.7347217803,49908.0256948368,55100.2512624717,65411.9234854029,1.00120988837352,2800
"N.ya[40,3]",82113.8511353329,8192.87666540657,66750.2790552814,76504.2707958686,82065.3795677507,87543.6421915028,98480.0091313214,1.0007264687374,3000
"N.ya[41,3]",39554.1740851621,5268.71309454822,30035.3028065544,35815.8143701265,39302.2031959518,42941.6214520314,50584.0469851255,1.00072774109347,3000
"R[1]",138064.926565563,32257.4805742717,80864.9298292686,116216.785325994,136111.790133581,157660.26974788,206603.239671312,1.00413230730186,550
"R[2]",137284.640631037,13289.2640489738,113226.312311791,128512.092108473,136404.18892556,145614.704666235,165452.889594202,1.004166942844,550
"R[3]",147562.554636668,12812.2499386457,123771.647374397,138960.942536919,147093.933533083,155928.46574251,173284.969163655,1.00195774457124,1500
"R[4]",169550.57174562,14955.5617829329,141790.600276078,159230.009173389,168782.452740995,178903.571247536,200177.978931067,1.00113302695161,3000
"R[5]",237846.175233178,18945.3834386989,202150.582974731,224708.521409584,237338.623748563,250941.876582323,274318.859180765,1.00362324479291,640
"R[6]",176852.369485995,16764.1993906024,146031.863751975,165288.195721757,176084.598395846,187093.919479128,212754.452409542,1.00242157331809,1000
"R[7]",204301.058681053,19719.8069175847,168563.519725596,190768.923752102,203183.608172883,216900.540195827,245316.83788666,1.00113715432273,3000
"R[8]",246259.02272417,25471.06719333,199962.923715651,228214.566999588,244497.153680407,262384.135325624,298552.71644399,1.00130269943113,2500
"R[9]",247456.246804671,24831.1614051879,201069.595198187,230065.988390093,246847.710777089,263863.767146626,299514.393877053,1.00102622312958,3000
"R[10]",329258.609810045,26012.95548617,281418.513333427,311337.876508342,328645.948083161,346331.551127539,380505.36039455,1.00394918740085,580
"R[11]",209384.260727983,19065.1058126165,174069.306637493,196540.406616558,208578.044166042,221797.256420721,248436.056184728,1.00098645607969,3000
"R[12]",129457.624536152,13686.6262540963,103681.431938249,120254.262334945,129251.613810578,138532.581360723,157710.050303027,1.00163600259853,1800
"R[13]",147731.706295447,12174.4436903539,124376.752998715,139333.982186426,147377.040021414,155854.888871349,171689.767714842,1.00202528266029,1300
"R[14]",154822.437188101,17885.81796637,121058.831498498,142588.366590853,154248.337174273,166310.763844939,190896.515054307,1.00396953360321,580
"R[15]",374432.947308473,26959.2396350855,323896.441116943,355734.784324631,374214.310595882,392093.898617719,429461.190605587,1.00131072170933,2500
"R[16]",172498.390869129,15657.6635826187,144209.592898877,161299.646374915,171998.034201245,182496.92538464,204818.644887812,1.00371924010155,620
"R[17]",184978.442913639,16788.2361538534,153154.434756911,173336.155752739,184536.553725982,196257.622378476,218136.236565479,1.00496966168034,450
"R[18]",348496.033210901,29063.3067828508,292617.186718487,329074.580055219,347840.941852508,367244.792347676,408945.27463819,1.00128018520191,2600
"R[19]",250061.351523795,25922.197123921,202542.142911196,232085.172397205,248790.424439895,266568.006388257,303117.250568957,1.00232798968732,1100
"R[20]",229114.584133356,18800.6696228604,192755.440887329,216507.183965997,228880.008810027,241239.718700867,268497.030769678,1.00252859037593,990
"R[21]",168859.464049237,35709.8986373783,110610.301053773,142666.844030191,164283.51901389,191301.461145567,249706.25077216,1.00763323729902,280
"R[22]",267543.871222341,58692.5918083101,150414.598873692,228279.42552326,268999.799462356,307363.894536434,380360.848818266,1.00630106082749,460
"R[23]",211794.912591595,58474.6891715648,98689.7653144807,172734.134461814,210573.622405985,250598.418794528,331591.640813414,1.00151422082121,2000
