,beta,lnalpha,lnalpha.c,S.max,S.eq.c,U.msy_Hilborn,S.msy_Hilborn,Smsy_lambert,Umsy_lambert,,
5179000,7.12E-06,1.032156266,1.387387504,140369.6331,194747.0749,0.558954666,78460.26137,78881.36884,0.561954656,,
5180000,7.16E-06,1.488015351,1.690625102,139588.9833,235992.6392,0.645237624,90068.06401,90399.16111,0.647609567,,
5181000,4.29E-06,1.130558473,1.339534891,233178.0559,312350.1416,0.544162685,126886.7969,127597.2225,0.547209393,,
5182000,4.76E-06,1.022341851,1.197709825,210242.4499,251809.448,0.498439295,104793.0985,105440.6546,0.50151934,,
5183000,5.06E-06,0.965282646,1.12314363,197607.3648,221941.453,0.473270202,93521.67745,94120.88719,0.476302527,,
5184000,3.93E-06,0.924619489,1.21126031,254770.8318,308593.7967,0.502929547,128131.7791,128917.4567,0.506013407,,
5185000,3.83E-06,0.856012097,1.093581102,261047.24,285476.3284,0.463076177,120884.7579,121668.156,0.466077159,,
5186000,4.66E-06,0.754539702,0.926265795,214467.0262,198653.4705,0.403075115,86446.32122,87024.84206,0.405772596,,
5187000,5.38E-06,0.833951484,1.003557642,185977.1421,186638.7823,0.431279865,80208.1968,80740.72546,0.434143274,,
5188000,4.18E-06,1.135586499,1.326423873,239078.4209,317119.3251,0.540053916,129115.2375,129845.9754,0.543110394,,
5189000,5.72E-06,1.264906202,1.650872271,174808.0534,288585.7682,0.634659588,110943.6071,111376.9275,0.637138423,,
5190000,7.93E-06,1.474878109,1.684316961,126162.3898,212497.453,0.643573827,81194.812,81496.23942,0.645963029,,
5191000,2.76E-06,0.785006352,0.996502303,362787.7542,361518.8328,0.428739973,155541.6119,156575.5687,0.431590005,,
5192000,7.05E-06,1.087584761,1.269994553,141831.9322,180125.7814,0.522095245,74049.7774,74487.06854,0.525178409,,
5193000,7.86E-06,1.468524202,1.698932059,127221.1106,216140.0234,0.64742012,82365.50663,82664.35745,0.649769186,,
5194000,5.51E-06,1.355501938,1.558146343,181519.2452,282833.5481,0.60912577,110568.0499,111059.1458,0.611831245,,
5195000,6.74E-06,1.179055256,1.329988782,148261.3187,197185.8907,0.54117348,80235.09376,80687.87683,0.544227433,,
5196000,7.03E-06,1.269450176,1.422777618,142299.0128,202459.8505,0.569688079,81066.05119,81486.49392,0.572642721,,
5197000,6.31E-06,0.856291314,1.056860453,158499.6284,167511.9891,0.450243445,71363.41877,71831.37485,0.453195856,,
5198000,7.17E-06,1.129436761,1.222500627,139389.9424,170404.2919,0.506634769,70619.79121,71049.93335,0.509720659,,
5199000,3.94E-06,1.290467343,1.691142095,253569.6096,428822.2408,0.645373737,163647.1664,164248.2593,0.64774426,,
5200000,8.64E-06,1.442443487,1.588678515,115776.3636,183931.4215,0.617666298,71511.1579,71816.22822,0.620301294,,
5201000,6.15E-06,1.354724049,1.490572845,162682.4206,242489.9986,0.589759904,95943.56879,96406.21795,0.592603783,,
5202000,4.14E-06,1.064393151,1.312506357,241432.8317,316882.1263,0.535666073,129327.3768,130067.4625,0.538731462,,
5203000,6.59E-06,1.32253858,1.46505737,151695.1238,222242.0591,0.582281168,88329.21389,88767.47512,0.58517026,,
5204000,4.36E-06,0.944745541,1.152734887,229180.3198,264184.15,0.483351603,110774.675,111475.2019,0.486408266,,
5205000,5.86E-06,1.107374869,1.293351056,170599.7947,220645.4247,0.529582541,90346.67285,90871.29662,0.532657714,,
5206000,4.33E-06,0.885194104,1.024666314,230794.0502,236486.8887,0.438837283,101281.0339,101950.6197,0.441738509,,
5207000,6.78E-06,1.358038486,1.518868895,147534.9384,224086.2289,0.597947057,88218.08224,88629.56848,0.600736134,,
5208000,2.79E-06,0.55394889,0.74466142,359030.6288,267356.2577,0.333514266,119741.8365,120517.983,0.335676049,,
5209000,4.93E-06,0.84571074,0.972905463,202935.2245,197436.7886,0.420194579,85272.28119,85841.03943,0.422997238,,
5210000,7.41E-06,1.188353873,1.452336159,135041.2885,196125.3462,0.578518457,78123.87786,78516.85792,0.58142853,,
5211000,7.74E-06,1.550638482,1.710719292,129190.0217,221007.8624,0.650500411,84038.16223,84337.41013,0.65281675,,
5212000,4.84E-06,1.056517031,1.328459745,206814.6338,274744.9157,0.540693502,111823.3286,112455.1572,0.54374855,,
5213000,4.31E-06,1.013863244,1.143694369,232196.0439,265561.308,0.480284608,111520.1859,112228.3788,0.483334586,,
5214000,7.11E-06,1.256116435,1.51767858,140703.9301,213543.3409,0.597604911,84085.35965,84478.13139,0.600396388,,
5215000,6.41E-06,1.496983597,1.801022281,155909.3114,280796.1436,0.673453452,104997.664,105318.7466,0.675512871,,
5216000,4.81E-06,0.996215778,1.164098712,207884.7211,241998.336,0.487190549,101279.4714,101916.4561,0.490254674,,
